sr,halo_beta,contrast_mag,sep_arcsec,bias_default,bias_psf_clean,epsf_tag,refusal_note
0.3,4.765,0.0,0.1,-0.14766661788829255,0.001933956148696958,strict,
0.3,4.765,0.0,0.15,-0.129723245897015,0.0032852375757130847,strict,
0.3,4.765,0.0,0.2,-0.14452874612713193,0.02044271060184011,strict,
0.3,4.765,0.0,0.3,-0.1486469884845433,0.0034776013512645143,strict,
0.3,4.765,0.0,0.45,-0.1516257127573117,-0.007791839389935662,strict,
0.3,4.765,0.0,0.6,-0.14419674710402425,-0.0046050296514090205,strict,
0.3,4.765,0.0,0.8,-0.1282738182363866,-0.0036416841179181536,strict,
0.3,4.765,0.0,1.0,-0.05165119482502445,0.0077247804138732,strict,
0.3,4.765,0.0,1.2,0.383984616400273,0.017948577008840838,strict,
0.3,4.765,0.0,0.1,-0.13647055237393044,0.007729608861267945,strict,
0.3,4.765,0.0,0.15,-0.1423436433507204,-0.015454491865621534,strict,
0.3,4.765,0.0,0.2,-0.15415201605119536,-0.012134329300197477,strict,
0.3,4.765,0.0,0.3,-0.14749788803974517,0.009610544703082202,strict,
0.3,4.765,0.0,0.45,-0.1422038890113687,0.02181898627789275,strict,
0.3,4.765,0.0,0.6,-0.14034148454759318,0.00186875040135287,strict,
0.3,4.765,0.0,0.8,-0.13170649973244214,-0.013253521231887666,strict,
0.3,4.765,0.0,1.0,-0.06775225533344612,-0.018221248361664666,strict,
0.3,4.765,0.0,1.2,0.29380912712000845,0.0004012668059232838,strict,
0.3,4.765,0.0,0.1,-0.12785542446980278,0.002317076990493605,strict,
0.3,4.765,0.0,0.15,-0.13549410447747914,-0.006026652426668833,strict,
0.3,4.765,0.0,0.2,-0.1447018624514893,0.01621529988608983,strict,
0.3,4.765,0.0,0.3,-0.14420164300959584,0.019077134445914135,strict,
0.3,4.765,0.0,0.45,-0.15355730966688091,-0.014636465262201526,strict,
0.3,4.765,0.0,0.6,-0.15196495118959608,-0.02494732849247744,strict,
0.3,4.765,0.0,0.8,-0.12085393219827295,0.017281857924615285,strict,
0.3,4.765,0.0,1.0,-0.04398545038348883,0.012702832962187605,strict,
0.3,4.765,0.0,1.2,0.41556837719183587,0.006811040545217306,strict,
0.3,4.765,1.0,0.1,-0.08412738232916395,0.0014805564665427151,strict,
0.3,4.765,1.0,0.15,-0.07169479734228348,0.025589548587982403,strict,
0.3,4.765,1.0,0.2,-0.0963489986313264,-0.018977642090167335,strict,
0.3,4.765,1.0,0.3,-0.08745756145995631,0.0022344809667012577,strict,
0.3,4.765,1.0,0.45,-0.07820811782387099,0.009728550507686173,strict,
0.3,4.765,1.0,0.6,-0.08075477843333598,-0.0010764802284211061,strict,
0.3,4.765,1.0,0.8,-0.06386821174002638,0.003636508342481637,strict,
0.3,4.765,1.0,1.0,-0.01825238055668954,0.006865336388487464,strict,
0.3,4.765,1.0,1.2,0.08642810586824212,-0.0002196079814987817,strict,
0.3,4.765,1.0,0.1,-0.08487848140254348,0.0016602290679232357,strict,
0.3,4.765,1.0,0.15,-0.08831883460031367,-0.009798434880197604,strict,
0.3,4.765,1.0,0.2,-0.08460654995588734,0.00429543153021944,strict,
0.3,4.765,1.0,0.3,-0.08402891329278969,0.0011188783729663143,strict,
0.3,4.765,1.0,0.45,-0.08638920361974795,-0.00438966309345451,strict,
0.3,4.765,1.0,0.6,-0.08049444473410353,-0.0032203674831005613,strict,
0.3,4.765,1.0,0.8,-0.06988760482632578,-0.006737492544530821,strict,
0.3,4.765,1.0,1.0,-0.04254528720649864,-0.021418806955530723,strict,
0.3,4.765,1.0,1.2,0.06440315609119379,-0.012529459223764028,strict,
0.3,4.765,1.0,0.1,-0.08456203950181612,-0.004965477694907128,strict,
0.3,4.765,1.0,0.15,-0.07954436967792769,0.006776540284998911,strict,
0.3,4.765,1.0,0.2,-0.08797565776337785,-0.004086322133381115,strict,
0.3,4.765,1.0,0.3,-0.06506403615101239,0.034302826311978285,strict,
0.3,4.765,1.0,0.45,-0.08186720617214846,0.007281769388372772,strict,
0.3,4.765,1.0,0.6,-0.07704488638835086,0.004558896881379337,strict,
0.3,4.765,1.0,0.8,-0.07291952960105558,-0.01000345104229955,strict,
0.3,4.765,1.0,1.0,-0.03857373637710215,-0.012770476193416924,strict,
0.3,4.765,1.0,1.2,0.11303049491127976,0.0235912551745317,strict,
0.3,4.765,2.0,0.1,-0.04338061417152461,-0.005515794523594408,strict,
0.3,4.765,2.0,0.15,-0.050790832851474677,-0.012896569941008296,strict,
0.3,4.765,2.0,0.2,-0.05248897319502366,-0.013819067117400885,strict,
0.3,4.765,2.0,0.3,-0.0389811177101132,0.0013614237454891986,strict,
0.3,4.765,2.0,0.45,-0.049860630558624885,-0.011583196478024471,strict,
0.3,4.765,2.0,0.6,-0.023890707885472928,0.016772863134440208,strict,
0.3,4.765,2.0,0.8,-0.019461676173668507,0.01494663210856495,strict,
0.3,4.765,2.0,1.0,-0.0051109595237607275,0.0054216176220286405,strict,
0.3,4.765,2.0,1.2,0.07222930034449271,0.03759953038771763,strict,
0.3,4.765,2.0,0.1,-0.0325217364063386,0.0054402230558148745,strict,
0.3,4.765,2.0,0.15,-0.037196043177731786,0.005315250749506284,strict,
0.3,4.765,2.0,0.2,-0.035062771626104106,0.0037758783453690214,strict,
0.3,4.765,2.0,0.3,-0.01548350771531637,0.03217242222207084,strict,
0.3,4.765,2.0,0.45,-0.029217897120488168,0.015289635368803012,strict,
0.3,4.765,2.0,0.6,-0.049312861508544636,-0.015033532439850839,strict,
0.3,4.765,2.0,0.8,-0.03353025415110289,-0.004930299424461437,strict,
0.3,4.765,2.0,1.0,-0.03113909546599386,-0.022408420493692738,strict,
0.3,4.765,2.0,1.2,0.018455780137689504,-0.008081492339903684,strict,
0.3,4.765,2.0,0.1,-0.034596861290849046,0.00461029971587007,strict,
0.3,4.765,2.0,0.15,-0.031573827547132116,0.011197707610540064,strict,
0.3,4.765,2.0,0.2,-0.055849257194083096,-0.018455193089040145,strict,
0.3,4.765,2.0,0.3,-0.025449651014586905,0.020056409807768127,strict,
0.3,4.765,2.0,0.45,-0.021729086997705926,0.023705931706551997,strict,
0.3,4.765,2.0,0.6,-0.03684169453387948,0.0003809213505656106,strict,
0.3,4.765,2.0,0.8,-0.03623345992640303,-0.00803169410772403,strict,
0.3,4.765,2.0,1.0,-0.03959694689431181,-0.031200666920414732,strict,
0.3,4.765,2.0,1.2,0.0370826779641385,0.008849920382103693,strict,
